sale_id,date,store_id,store_name,product_id,product_name,category,quantity,unit_price,unit_cost,total_revenue,total_cost,profit
SALE00001,2023-04-23,S001,Downtown,P001,Laptop,Electronics,8,899.99,475.09,7199.92,3800.72,3399.2
SALE00002,2023-10-29,S001,Downtown,P008,Sneakers,Clothing,5,69.99,29.21,349.95,146.05,203.9
SALE00003,2023-01-04,S003,Northgate,P010,Blender,Home,3,39.99,16.23,119.97,48.69,71.28
SALE00004,2023-12-24,S003,Northgate,P009,Coffee Maker,Home,7,59.99,29.06,419.93,203.42,216.51
SALE00005,2023-06-24,S004,Eastpark,P003,Smartwatch,Electronics,5,199.99,91.0,999.95,455.0,544.95
SALE00006,2023-03-21,S002,Westside,P002,Headphones,Electronics,4,79.99,32.4,319.96,129.6,190.36
SALE00007,2023-06-22,S004,Eastpark,P006,Jeans,Clothing,2,49.99,26.76,99.98,53.52,46.46
SALE00008,2023-02-17,S005,Southmall,P010,Blender,Home,7,39.99,16.23,279.93,113.61,166.32
SALE00009,2023-02-19,S001,Downtown,P006,Jeans,Clothing,6,49.99,26.76,299.94,160.56,139.38
SALE00010,2023-06-26,S002,Westside,P016,Granola,Food,10,6.99,3.56,69.9,35.6,34.3
SALE00011,2023-05-16,S003,Northgate,P010,Blender,Home,1,39.99,16.23,39.99,16.23,23.76
SALE00012,2023-08-24,S002,Westside,P009,Coffee Maker,Home,9,59.99,29.06,539.91,261.54,278.37
SALE00013,2023-03-05,S001,Downtown,P008,Sneakers,Clothing,7,69.99,29.21,489.93,204.47,285.46
SALE00014,2023-02-10,S001,Downtown,P005,T-Shirt,Clothing,9,19.99,10.94,179.91,98.46,81.45
SALE00015,2023-05-31,S003,Northgate,P011,Vacuum,Home,10,129.99,57.68,1299.9,576.8,723.1
SALE00016,2023-07-05,S002,Westside,P009,Coffee Maker,Home,10,59.99,29.06,599.9,290.6,309.3
SALE00017,2023-04-09,S003,Northgate,P010,Blender,Home,2,39.99,16.23,79.98,32.46,47.52
SALE00018,2023-01-24,S001,Downtown,P006,Jeans,Clothing,4,49.99,26.76,199.96,107.04,92.92
SALE00019,2023-05-29,S001,Downtown,P007,Jacket,Clothing,2,89.99,52.05,179.98,104.1,75.88
SALE00020,2023-04-30,S005,Southmall,P002,Headphones,Electronics,2,79.99,32.4,159.98,64.8,95.18
SALE00021,2023-07-14,S003,Northgate,P001,Laptop,Electronics,5,899.99,475.09,4499.95,2375.45,2124.5
SALE00022,2023-08-21,S003,Northgate,P013,Protein Bar,Food,6,2.99,1.21,17.94,7.26,10.68
SALE00023,2023-03-25,S001,Downtown,P005,T-Shirt,Clothing,6,19.99,10.94,119.94,65.64,54.3
SALE00024,2023-07-01,S003,Northgate,P002,Headphones,Electronics,4,79.99,32.4,319.96,129.6,190.36
SALE00025,2023-12-10,S003,Northgate,P012,Lamp,Home,5,34.99,17.53,174.95,87.65,87.3
SALE00026,2023-12-26,S002,Westside,P008,Sneakers,Clothing,2,69.99,29.21,139.98,58.42,81.56
SALE00027,2023-11-08,S005,Southmall,P004,Tablet,Electronics,3,449.99,200.08,1349.97,600.24,749.73
SALE00028,2023-10-01,S001,Downtown,P008,Sneakers,Clothing,4,69.99,29.21,279.96,116.84,163.12
SALE00029,2023-03-25,S001,Downtown,P012,Lamp,Home,8,34.99,17.53,279.92,140.24,139.68
SALE00030,2023-07-14,S004,Eastpark,P006,Jeans,Clothing,5,49.99,26.76,249.95,133.8,116.15
SALE00031,2023-11-24,S002,Westside,P012,Lamp,Home,9,34.99,17.53,314.91,157.77,157.14
SALE00032,2023-04-23,S002,Westside,P006,Jeans,Clothing,6,49.99,26.76,299.94,160.56,139.38
SALE00033,2023-01-29,S002,Westside,P002,Headphones,Electronics,4,79.99,32.4,319.96,129.6,190.36
SALE00034,2023-01-17,S005,Southmall,P002,Headphones,Electronics,6,79.99,32.4,479.94,194.4,285.54
SALE00035,2023-07-25,S005,Southmall,P004,Tablet,Electronics,5,449.99,200.08,2249.95,1000.4,1249.55
SALE00036,2023-02-03,S002,Westside,P005,T-Shirt,Clothing,4,19.99,10.94,79.96,43.76,36.2
SALE00037,2023-10-18,S005,Southmall,P012,Lamp,Home,6,34.99,17.53,209.94,105.18,104.76
SALE00038,2023-04-19,S002,Westside,P011,Vacuum,Home,8,129.99,57.68,1039.92,461.44,578.48
SALE00039,2023-07-22,S003,Northgate,P002,Headphones,Electronics,8,79.99,32.4,639.92,259.2,380.72
SALE00040,2023-03-15,S003,Northgate,P010,Blender,Home,5,39.99,16.23,199.95,81.15,118.8
SALE00041,2023-03-13,S002,Westside,P011,Vacuum,Home,4,129.99,57.68,519.96,230.72,289.24
SALE00042,2023-10-15,S003,Northgate,P010,Blender,Home,9,39.99,16.23,359.91,146.07,213.84
SALE00043,2023-05-15,S002,Westside,P007,Jacket,Clothing,10,89.99,52.05,899.9,520.5,379.4
SALE00044,2023-08-08,S005,Southmall,P004,Tablet,Electronics,10,449.99,200.08,4499.9,2000.8,2499.1
SALE00045,2023-07-24,S001,Downtown,P010,Blender,Home,6,39.99,16.23,239.94,97.38,142.56
SALE00046,2023-04-23,S001,Downtown,P015,Olive Oil,Food,3,9.99,5.29,29.97,15.87,14.1
SALE00047,2023-09-18,S001,Downtown,P005,T-Shirt,Clothing,8,19.99,10.94,159.92,87.52,72.4
SALE00048,2023-02-16,S002,Westside,P013,Protein Bar,Food,1,2.99,1.21,2.99,1.21,1.78
SALE00049,2023-02-26,S003,Northgate,P009,Coffee Maker,Home,3,59.99,29.06,179.97,87.18,92.79
SALE00050,2023-11-18,S004,Eastpark,P008,Sneakers,Clothing,3,69.99,29.21,209.97,87.63,122.34
SALE00051,2023-12-15,S004,Eastpark,P007,Jacket,Clothing,7,89.99,52.05,629.93,364.35,265.58
SALE00052,2023-11-02,S001,Downtown,P011,Vacuum,Home,2,129.99,57.68,259.98,115.36,144.62
SALE00053,2023-07-17,S004,Eastpark,P008,Sneakers,Clothing,7,69.99,29.21,489.93,204.47,285.46
SALE00054,2023-11-02,S004,Eastpark,P006,Jeans,Clothing,8,49.99,26.76,399.92,214.08,185.84
SALE00055,2023-09-28,S003,Northgate,P014,Coffee Beans,Food,5,14.99,6.59,74.95,32.95,42.0
